epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,581.795,2.39251,2.69875,2.53814,0.65339,0.0827,0.06933,0.02509,2.38711,2.875,2.65524,0.00294625,0.00294625,0.00294625
59,591.856,2.34274,2.68971,2.53523,0.65986,0.09304,0.09871,0.03308,2.35128,2.80448,2.63307,0.0028225,0.0028225,0.0028225
60,600.08,2.35168,2.72732,2.54881,0.6484,0.1066,0.10749,0.03463,2.32095,2.81541,2.64126,0.00269875,0.00269875,0.00269875
61,609.743,2.33169,2.64911,2.51258,0.67134,0.09329,0.08868,0.02961,2.34756,2.82613,2.65832,0.002575,0.002575,0.002575
62,618.815,2.3515,2.67532,2.4952,0.64551,0.08349,0.05721,0.02093,2.43525,2.93983,2.70694,0.00245125,0.00245125,0.00245125
63,627.989,2.34767,2.63599,2.4898,0.6557,0.09968,0.07767,0.02551,2.36052,2.8616,2.66066,0.0023275,0.0023275,0.0023275
64,638.345,2.33243,2.59734,2.49702,0.51635,0.11796,0.08399,0.02945,2.3394,2.83207,2.62585,0.00220375,0.00220375,0.00220375
65,647.363,2.33431,2.58446,2.46882,0.52366,0.10087,0.07447,0.02786,2.36497,2.84952,2.6457,0.00208,0.00208,0.00208
66,657.372,2.3479,2.63442,2.4793,0.52087,0.13072,0.085,0.03096,2.32772,2.76194,2.6036,0.00195625,0.00195625,0.00195625
67,668.153,2.30015,2.60477,2.46648,0.53456,0.12999,0.0918,0.03369,2.31304,2.75722,2.61037,0.0018325,0.0018325,0.0018325
68,676.258,2.29715,2.58473,2.48884,0.54228,0.13433,0.09398,0.03468,2.29524,2.7437,2.59381,0.00170875,0.00170875,0.00170875
69,686.811,2.26165,2.59375,2.45493,0.53126,0.13941,0.09012,0.03286,2.28702,2.77116,2.58357,0.001585,0.001585,0.001585
70,696.804,2.2693,2.59602,2.49517,0.55324,0.11357,0.10399,0.03773,2.25694,2.7815,2.57077,0.00146125,0.00146125,0.00146125
71,723.298,2.20386,2.76572,2.49765,0.56663,0.13114,0.09971,0.03501,2.27876,2.82624,2.58594,0.0013375,0.0013375,0.0013375
72,738.253,2.19957,2.70125,2.47703,0.67209,0.13189,0.103,0.0323,2.3443,2.92613,2.63741,0.00121375,0.00121375,0.00121375
73,748.262,2.1995,2.67595,2.49706,0.66327,0.13727,0.09628,0.03279,2.30809,2.89518,2.61679,0.00109,0.00109,0.00109
74,758.205,2.19273,2.69582,2.46457,0.5412,0.13582,0.09231,0.03075,2.31099,2.87574,2.62877,0.00096625,0.00096625,0.00096625
75,766.817,2.16192,2.64288,2.44455,0.43963,0.138,0.0963,0.03038,2.30686,2.85186,2.62132,0.0008425,0.0008425,0.0008425
76,776.589,2.1414,2.61354,2.41207,0.54627,0.12599,0.10904,0.03688,2.29332,2.80478,2.60525,0.00071875,0.00071875,0.00071875
77,784.622,2.16614,2.62169,2.45204,0.45592,0.14546,0.11174,0.03735,2.287,2.78825,2.59351,0.000595,0.000595,0.000595
78,792.977,2.14768,2.64614,2.45201,0.45734,0.13687,0.1159,0.04036,2.2763,2.76565,2.57681,0.00047125,0.00047125,0.00047125
79,799.382,2.11978,2.58085,2.41013,0.45399,0.13528,0.11855,0.04214,2.2749,2.75853,2.57252,0.0003475,0.0003475,0.0003475
80,808.606,2.14469,2.62697,2.43322,0.43963,0.13579,0.11994,0.04347,2.27108,2.75341,2.57202,0.00022375,0.00022375,0.00022375
